Name,Maps Link,Address,Contact ,Reviews,Total Reviews
LG Service Center Jakarta Selatan,https://maps.app.goo.gl/MG1mHgx1t2iAdp5s9,"Jl. RS. Fatmawati Raya No.1 A, RT.2/RW.1, Pd. Labu, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12450",1 500 140,4.2,1151
CV Aneka Jaya (Service Elektronik),https://maps.app.goo.gl/h2FFHmepiHNTzD8J9,"Jl. Moh. Kahfi 1 No.45, RT.7/RW.2, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",0818-0875-1212,4.0,18
Labora Service Electronics,https://maps.app.goo.gl/yYBtPz5TcYs315u26,"Jl. Duren Tiga Selatan No.31, RT.1/RW.2, Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760",0816-1707-0112,4.8,38
Sony Authorized Service Center,https://maps.app.goo.gl/tWET3ssrSQyj3Xpk9,"2, Jl. RS. Fatmawati Raya No.9A, RT.3/RW.7, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140",0858-1061-1286,4.4,576
Duta Service Tv Led,https://maps.app.goo.gl/Qa4emdJgZR5H8AkB9,"Jl. Dr. Saharjo Jl. Swadaya II No.17, RT.7/RW.9, Manggarai, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12850",0812-3573-2727,4.9,239
MURSID SERVICE ELEKTRONIK,https://maps.app.goo.gl/aYsPAsNMEQiHtzzz5,"Jl. Sonton No.2, RT.03/02/RW.No.38, Lenteng Agung, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12610",0812-9261-412,4.9,19
Service Elektronik Bpk. Dede / Rinata,https://maps.app.goo.gl/Qe2ZuYNQU6dxxpEv9,"Belakang Gudang Aqua, Gg. Pelangi No.29, RT.10/RW.1, Rawajati, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750",0812-9417-455,4.8,33
PHILIPS CONSUMER EXPERIENCE CENTER,https://maps.app.goo.gl/pLhqi8P8VNMaz4tL7,"Jl. Sultan Iskandar Muda No.9 E 8, RT.8/RW.1, Kby. Lama Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240",(021) 27518592,4.6,347
Samsung Service Center - ITC Fatmawati,https://maps.app.goo.gl/zxSd3kSCdi2wvsV19,"ITC Fatmawati, Lantai 1. No. 49 - 51, RT.3/RW.5, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12150",0800 1128888,4.9,4209
MANTO Service TV LED,https://maps.app.goo.gl/9AhmHN8JpcKkQhnu9,"Pasar Jembatan Merah, Jl. Dr. Saharjo No.159, RT.6/RW.3, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860",0852-1310-9750,4.5,59
HP Service Center Jakarta,https://maps.app.goo.gl/ftDS73xw8mUZLv1i8,"Prudential Center Kota Kasablanka Lantai 5 Unit C-E, Jl. Raya Casablanca No.Kav. 88 16, RT.16/RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870",0813-1852-1007,4.4,1782
Acer Customer Service Center - Fatmawati,https://maps.app.goo.gl/EcVDHhpEeWkzZK8UA,"Ruko ITC Fatmawati No.7, Jl. RS. Fatmawati Raya No.28 3, RT.3/RW.5, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430",(021) 1500155,4.3,560
Xiaomi Service Center ESC ITC Fatmawati Jakarta,https://maps.app.goo.gl/L686Pr2kEhgGSruc8,"ITC Fatmawati, Ruko No.21 Pintu 2, RT.1/RW.5, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12150",0851-7995-6249,4.1,1361
Apple Service Indonesia,https://maps.app.goo.gl/DxLDpVHQFgJ6xmTAA,"Kios AL-19, Kalibata City, JL. Kalibata Raya, Apartemen, Tower Akasia, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750",0838-7474-7555,5.0,174
